GaugeID,catchment_area_km2_x,catchment_perimeter_km,centroid_lon_x,centroid_lat_x,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,bbox_width_km,bbox_height_km,dem_elev_mean_m,dem_elev_min_m,dem_elev_max_m,dem_elev_std_m,terrain_slope_mean_deg,terrain_aspect_deg_mean,twi_mean,tri_mean,road_length_km,road_density_km_per_km2,hospital_count,nearest_hospital_distance_km,centroid_lon_y,centroid_lat_y,catchment_area_km2_y,population_total,population_density_per_km2,urban_built_up_pct,dense_forest_pct,agriculture_pct,water_body_pct,barren_rocky_pct,impervious_surface_pct
645,705.4158833361337,137.1688596457066,7107040.291181189,2504973.6208823305,7090133.493770045,2490262.536981905,7124707.744193284,2523271.7137961346,34.57425042323861,33.00917681422969,130373378.67005622,130373198.67005622,130373638.67005622,266.3539708340334,28.0,182.62063070386648,8.34649906000336,49.74371475012602,0.0,0.0,0,0.0,73.65856613454962,20.03086754085899,705.416,116367,139.65,49.852,54.465,52.69,16.108,19.581,62.433
646,434.7955790376775,120.46988788827788,7070902.258507677,2334216.941035535,7058775.452688504,2317324.119247593,7082092.970415805,2351625.330845804,23.31751772730053,34.3012115982105,126866102.04073176,126865922.04073176,126866362.04073176,198.69889475941935,28.0,20.326569095253944,8.021754694845214,37.56580105669549,0.0,0.0,0,0.0,73.284032960199,18.614521144278605,434.796,73067,107.175,32.262,51.218,43.218,10.696,15.522,40.784
648,124.85645973011424,61.59672381368093,7061240.091523773,2345379.2454265947,7052343.03400511,2337508.0589454737,7070032.185384442,2350617.2694729823,17.689151379331946,13.10921052750852,126951077.51596396,126950897.51596396,126951337.51596396,121.21411493252856,28.0,180.8237139582634,7.6498277516761375,23.61854068785514,0.0,0.0,0,0.0,73.18387445887446,18.706709956709947,124.856,23477,69.983,12.116,47.498,32.37,4.497,10.873,15.989
654,1917.5002711019447,420.8660540104173,7122911.177406853,2196437.8095619525,7096887.53338761,2153244.733912832,7156065.785274824,2255544.264731528,59.17825188721437,102.29953081869569,125010184.70099738,125010004.70099738,125010444.70099738,569.3750677754862,28.0,100.5966616794467,9.801000325322333,80.0,0.0,0.0,0,0.0,73.82291805022818,17.48044307140739,1917.5,310300,285.1,100.0,69.01,95.113,40.35,37.763,100.0
656,2951.579617318865,278.0883478989104,7186518.343480758,2183760.753980385,7163917.466259271,2129736.67079052,7212721.637042591,2241934.139640236,48.80417078332045,112.19746884971578,125545283.69341604,125545103.69341604,125545543.69341604,827.8949043297163,28.0,165.09132682532072,11.041895540782638,80.0,0.0,0.0,0,0.0,74.48221156515183,17.376340415487178,2951.58,475753,409.19,100.0,81.419,100.0,61.032,53.274,100.0
668,956.6624069667624,200.42018675321717,7082075.253407676,2381183.7507566363,7062795.714365625,2346584.538441996,7098174.017124286,2399954.7414263715,35.3783027586611,53.37020298437541,127845580.55451156,127845400.55451156,127845840.55451156,329.16560174169064,28.0,137.28066907823086,8.647994888360115,61.04980831350432,0.0,0.0,0,0.0,73.39981669486747,19.00295403271292,956.662,156566,169.799,66.183,57.48,61.483,21.133,23.35,82.533
678,15112.207451196346,804.9837102438607,7156698.329545662,2166195.2128478577,7098174.017124286,2055294.085733344,7220389.972108755,2265768.77616842,122.21595498446932,210.47469043507613,124871263.78580938,124871083.78580938,124871523.78580938,3868.0518627990864,28.0,344.96591095626354,12.0,80.0,0.0,0.0,0,0.0,74.17304726233633,17.233263697333577,15112.207,2421453,1868.465,100.0,100.0,100.0,100.0,100.0,100.0
681,1964.005343957314,246.90181533931693,7146185.80157292,2133890.8024942395,7110674.027521993,2110383.432685944,7190183.633920751,2175151.943000904,79.50960639875754,64.76851031496004,124163634.06377137,124163454.06377137,124163894.06377137,581.0013359893285,28.0,52.21415627747774,9.856806412748776,80.0,0.0,0.0,0,0.0,74.0641812573632,16.967443436023043,1964.005,317741,290.681,100.0,69.568,96.74,41.28,38.46,100.0
682,6764.543798387756,640.319039237041,7169223.013530654,2272754.11400448,7094314.565914251,2225349.274529085,7237998.718254546,2312477.117451821,143.6841523402948,87.12784292273597,126939620.21444848,126939440.21444848,126939880.21444848,1781.1359495969389,28.0,27.12177588790655,12.0,80.0,0.0,0.0,0,0.0,74.30284420141673,18.10773509064665,6764.544,1085827,866.745,100.0,100.0,100.0,100.0,100.0,100.0
684,5382.646973675628,330.5864342203314,7135616.850184317,2213424.769044416,7098550.916656516,2153143.0183577603,7170918.1787686,2266246.1541222264,72.36726211208477,113.10313576446612,125468418.04501128,125468238.04501128,125468678.04501128,1435.661743418907,28.0,331.65165884792805,12.0,80.0,0.0,0.0,0,0.0,73.95468620373406,17.619945397016462,5382.647,864724,700.918,100.0,100.0,100.0,100.0,89.74,100.0
