GaugeID,Stream Order,Maximal Flow Length,Downvalley Length,Drainage Area,Catchment Relief,Catchment Length,Catchment Perimeter,Sinuosity Index,Form Factor,Relief Ratio,Elongation Ratio,Circularity Ratio,Lemniscates Value,Drainage Texture,Drainage Density,Compactness Coefficient,Wandering Ratio,Fitness Ratio,Basin Magnitude,Channel Frequency,Drainage Intensity,Infiltration Number,Ruggedness Number,No. of Firstorder Streams,No. of Secondorder Streams,No. of Thirdorder Streams,No. of Fourthorder Streams,No. of Fifthorder Streams,No. of Sixthorder Streams,No. of Seventhorder Streams,No. of Eigthorder Streams,Firstorder Streams Length,Secondorder Streams Length,Thirdorder Streams Length,Fourthorder Streams Length,Fifthorder Streams Length,Sixthorder Streams Length,Seventhorder Streams Length,Eighthorder Streams Length,Firstorder Streams  Mean  Length,Secondorder Streams  Mean Length,Thirdorder Streams Mean Length,Fourthorder Streams Mean Length,Fifthorder Streams Mean Length,Sixthorder Streams Mean Length,Seventhorder Streams Mean Length,Eighthorder Streams Mean Length,FirstSecond Stream Length Ratio,SecondThird Stream Length Ratio,ThirdForth Stream Length Ratio,FourthFifth Stream Length Ratio,FifthSixth Stream Length Ratio,SixthSeventh Stream Length Ratio,SeventhEighth Stream Length Ratio,FirstSecond Bifurcation Ratio,SecondThird Bifurcation Ratio,ThirdForth Bifurcation Ratio,FourthFifth Bifurcation Ratio,FifthSixth Bifurcation Ratio,Sixthseventh Bifurcation Ratio,SeventhEighth Bifurcation Ratio,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Mean Temperature of Warmest Quarter,Mean Temperature of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter,KoppenGeiger Climate Type,2015_GDP_PPP,2010_GDP_PPP,2005_GDP_PPP,2000_GDP_PPP,1995_GDP_PPP,1990_GDP_PPP,2010_GDP_PC_PPP,2015_GDP_PC_PPP,2005_GDP_PC_PPP,2000_GDP_PC_PPP,1995_GDP_PC_PPP,1990_GDP_PC_PPP,Night Light,Road Density,Urban percentage,2010_HDI,2015_HDI,2005_HDI,2000_HDI,1995_HDI,1990_HDI,Population Count,Population Density,Land cover,Soil type,lithology type
INDOFLOODS-gauge-589,5,260667.375,171071.3594,12321.25586,860,174954.125,549350.8125,1.523734808,0.402537733,0.004915574,1.83e-10,0.513056636,2.484239101,0.000360425,0.000153756,1.406026483,1.48991847,0.474500746,158,1.61e-08,0.000104515,2.47e-12,0.132229879,158,31.0,6.0,2.0,1.0,,,,955960.25,428618.9375,287432.9063,191262.0469,31188.91992,,,,6050.381348,13826.41699,47905.48438,95631.02344,31188.91992,,,,0.448364824,0.670602441,0.665414572,0.163069054,,,,5.096774101,5.166666508,3.0,2.0,,,,24.264039,11.755919,53.999849,234.531132,35.700072,13.956643,21.743429,23.38273,23.809613,27.678566,21.948542,1106.081821,382.54262,0.134767,112.842455,754.327808,5.595041,82.942581,48.571955,Tropical,323962419.6,235394588.1,162044771.9,110190549.0,94383032.29,65847771.35,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,5.127625,450.845638,16.52552071,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,4543165.0,366.500848,Cropland,Vertisols,Basic volcanic rocks
INDOFLOODS-gauge-612,5,504653.9063,293027.75,33145.60938,923,312005.5,988514.875,1.722205162,0.340487748,0.002958281,6.24e-11,0.426254958,2.936963081,0.000537169,0.000163382,1.542557716,1.617451906,0.51051724,422,1.6e-08,9.81e-05,2.62e-12,0.150801763,422,88.0,16.0,4.0,1.0,,,,2853316.0,1379545.125,523370.6563,325724.0938,333446.7188,,,,6761.412109,15676.64941,32710.66602,81431.02344,333446.7188,,,,0.483488381,0.379379153,0.622358322,1.023709059,,,,4.795454502,5.5,4.0,4.0,,,,25.360485,12.931817,53.186996,284.295439,37.740013,13.430735,24.309278,24.933291,24.305356,29.218033,22.104977,830.281787,250.790995,0.6366,105.363442,531.936413,5.094651,111.946095,28.968742,Arid,318796912.7,229397686.8,155483464.9,104158432.0,88026542.95,60467714.42,6993.368194,9096.2169,5113.39724,3714.286681,3521.998435,2768.570384,6.215596,416.562044,12.32215447,0.718923241,0.773462299,0.66438432,0.612324344,0.570180522,0.530515782,13038310.0,391.865438,Cropland,Vertisols,Basic volcanic rocks
INDOFLOODS-gauge-640,5,179304.6875,126870.2188,11295.41992,840,133354.9063,508140.1563,1.41329217,0.635161817,0.006298981,2.5e-10,0.549724638,1.574401975,0.000334553,0.0001548,1.358324528,1.344567657,0.352864623,137,1.51e-08,9.72e-05,2.33e-12,0.130032256,137,25.0,5.0,2.0,1.0,,,,829208.75,531205.75,284359.0938,95663.32813,8097.509277,,,,6052.618652,21248.23047,56871.82031,47831.66406,8097.509277,,,,0.640617609,0.535308778,0.336417347,0.084645905,,,,5.480000019,5.0,2.5,2.0,,,,24.461878,12.879812,52.456296,283.851645,36.629597,12.093588,24.536009,24.403163,22.97866,28.187455,21.092477,1092.876744,387.306576,0.444278,115.175816,775.851267,4.258469,182.904213,18.587674,Arid,592812265.8,423385327.2,283347972.7,187435598.3,156853362.8,106204957.6,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,11.033118,533.364286,19.14130166,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,7877672.0,692.721021,Cropland,Vertisols,Basic volcanic rocks
INDOFLOODS-gauge-642,5,332344.3438,198268.7656,22102.80469,884,213449.1563,727485.5625,1.676231503,0.485130399,0.004141502,1.12e-10,0.524817705,2.06130147,0.000482484,0.000161138,1.390182853,1.557018757,0.45683977,280,1.59e-08,9.86e-05,2.56e-12,0.142445818,280,57.0,10.0,3.0,1.0,,,,1808250.25,978104.9375,352983.5625,261121.1875,161137.1719,,,,6458.036621,17159.73633,35298.35547,87040.39844,161137.1719,,,,0.54091239,0.360885173,0.739754498,0.617097259,,,,4.91228056,5.699999809,3.333333254,3.0,,,,24.902247,12.899039,52.777355,284.862773,37.202514,12.774029,24.428485,24.633413,23.613184,28.683336,21.586882,872.126011,288.74765,0.516029,108.457693,583.372168,4.479854,132.38612,25.745902,Arid,410222242.7,294414346.8,198650214.0,132487744.6,111660251.0,76310587.1,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,8.157247,421.912088,15.63410617,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,10697220.0,482.510339,Cropland,Vertisols,Basic volcanic rocks
INDOFLOODS-gauge-643,3,127724.7422,87262.79688,2428.131836,458,89340.92969,307853.4688,1.463679194,0.304208487,0.00512643,8.05e-10,0.321954161,3.287219286,8.12e-05,0.000151348,1.774921536,1.429633021,0.414888114,21,1.03e-08,6.8e-05,1.56e-12,0.069317497,21,3.0,1.0,,,,,,182875.6406,112390.0703,72227.78125,,,,,,8708.364258,37463.35547,72227.78125,,,,,,0.614571035,0.64265269,,,,,,7.0,3.0,,,,,,24.15135,10.871689,54.394201,202.386351,34.497085,14.513735,19.98335,23.420391,23.831212,27.133015,22.223964,1922.841206,765.146064,0.459966,134.482891,1468.086432,8.835511,109.594975,55.556784,Tropical,609700604.5,436997832.5,294046659.2,195443466.8,164090733.7,111584646.5,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,9.785614,490.242424,27.38372093,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,1623644.0,662.643908,No dominant class,No dominant class,Basic volcanic rocks
INDOFLOODS-gauge-654,3,140242.1406,94406.53906,1853.016968,832,95682.14844,291485.9063,1.485512972,0.202403292,0.008695457,8.61e-10,0.274065346,4.94063139,7.89e-05,0.000149724,1.923752069,1.465708494,0.481128365,19,1.24e-08,8.29e-05,1.86e-12,0.124570213,19,3.0,1.0,,,,,,132401.125,41342.44531,103697.1953,,,,,,6968.480469,13780.81543,103697.1953,,,,,,0.312251478,2.508250237,,,,,,6.333333492,3.0,,,,,,23.263499,10.160098,52.854254,209.228395,33.383411,14.176623,19.206788,22.636685,22.907205,26.356993,21.349279,2059.474332,836.28129,0.380569,145.670053,1590.232075,6.0437,82.256682,75.116249,Tropical,114017318.4,83449734.48,58141329.83,40010647.94,34634070.01,24480242.11,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,1.86045,293.173913,10.74870274,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,398603.9491,214.446102,No dominant class,Leptosols,Basic volcanic rocks
INDOFLOODS-gauge-678,5,282463.4688,177001.875,14981.12305,865,181422.0781,661661.6875,1.595821857,0.455160022,0.004767887,1.6e-10,0.430013657,2.197029591,0.000340053,0.000153623,1.535801291,1.556941032,0.426900148,181,1.5e-08,9.78e-05,2.31e-12,0.132883772,181,34.0,7.0,2.0,1.0,,,,1152563.5,541009.0,363623.375,191262.0469,52985.01953,,,,6367.753906,15912.0293,51946.19531,95631.02344,52985.01953,,,,0.469396263,0.67212075,0.525989413,0.277028412,,,,5.323529243,4.857142925,3.5,2.0,,,,24.260225,11.62029,54.068787,229.416043,35.523993,14.053307,21.470685,23.404303,23.824559,27.604177,22.002813,1230.965763,440.429336,0.185083,115.908746,862.866732,6.173779,87.616312,49.557953,Tropical,379726869.5,274829591.7,187994887.9,127028381.6,108107798.3,74909658.87,7044.598246,9162.851405,5147.998455,3738.812234,3558.199331,2795.551912,6.00042,462.918919,18.61586461,0.720675299,0.775347272,0.666003465,0.613816615,0.571570085,0.53180868,6367786.0,421.555711,Cropland,Vertisols,Basic volcanic rocks
INDOFLOODS-gauge-681,3,131884.7656,96508.73438,1949.87561,544,99073.17969,274242.9375,1.366557837,0.198652804,0.005490891,8.1e-10,0.325796098,5.033908367,0.000127624,0.00015057,1.764425159,1.331185341,0.480904877,29,1.79e-08,0.000119213,2.7e-12,0.081910223,29,5.0,1.0,,,,,,127781.6016,82858.82031,82952.88281,,,,,,4406.262207,16571.76367,82952.88281,,,,,,0.648440957,1.00113523,,,,,,5.800000191,5.0,,,,,,24.125536,11.080109,53.864529,215.130543,34.866722,14.311079,20.555643,23.427544,23.751853,27.283951,22.065938,1560.014994,605.421491,0.219908,130.88411,1147.774677,7.00833,98.783007,44.109121,Tropical,321959105.8,233428587.4,160106234.0,108474886.3,92611841.93,64348582.63,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,5.099473,435.730769,19.83953319,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,783196.2567,399.01783,Cropland,Vertisols,Basic volcanic rocks
INDOFLOODS-gauge-682,4,191453.9063,158090.4375,6681.524902,811,162895.4219,461495.4063,1.211040378,0.251801223,0.004978654,2.66e-10,0.394230932,3.971386671,0.000238356,0.00016874,1.603986859,1.175317883,0.41485551,88,1.65e-08,9.76e-05,2.78e-12,0.136848032,88,18.0,3.0,1.0,,,,,656826.375,268755.2188,56267.07422,145591.0313,,,,,7463.936035,14930.8457,18755.69141,145591.0313,,,,,0.409172386,0.209361792,2.587499619,,,,,4.888888836,6.0,3.0,,,,,24.988929,12.785857,53.388882,273.500875,37.245938,13.30994,23.935998,24.473107,23.986016,28.696074,21.929353,710.474519,218.079808,0.334976,102.780463,440.066827,4.445793,72.789784,35.068149,Arid,241531769.9,175332607.2,120509721.1,81821094.54,69991051.76,48749708.65,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,5.190303,296.903614,15.34922627,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,1967492.0,290.742798,Cropland,Vertisols,Basic volcanic rocks
INDOFLOODS-gauge-684,4,144197.1563,96068.60938,5337.689941,836,100167.0625,354470.4063,1.500980973,0.531989992,0.008346057,4.84e-10,0.533830345,1.879734635,0.000211583,0.00015072,1.378397703,1.439566612,0.406796038,58,1.41e-08,9.32e-05,2.12e-12,0.126002312,58,13.0,3.0,1.0,,,,,430492.4688,163079.8281,154465.6094,56461.24219,,,,,7422.28418,12544.60254,51488.53516,56461.24219,,,,,0.378821552,0.947177887,0.365526289,,,,,4.461538315,4.333333492,3.0,,,,,23.673744,11.165557,53.365643,229.822506,34.682186,13.784339,20.897847,22.846576,23.210034,27.022617,21.463321,1364.905549,508.264706,0.222711,124.422457,983.093693,5.054124,74.395998,60.815191,Tropical,233024062.2,170116820.4,118020283.7,80870638.22,69733974.87,49056919.12,7055.1577,9176.586,5155.1304,3743.8674,3565.661,2801.1133,4.11746,372.140625,16.53937319,0.72103643,0.7757358,0.6663372,0.6141242,0.5718565,0.53207517,1649276.0,309.379055,Cropland,No dominant class,Basic volcanic rocks
